name,type,source_image,source_page,extraction_method,confidence,content_type,estimated,requires_validation,estimated_price,estimated_currency,estimated_market_value
Equity Holding #1,equity,fileoutpart10.png,10,immediate_image_analysis,0.5,EQUITIES_SECTION,True,True,75.15,USD,"100,000"
Equity Holding #2,equity,fileoutpart10.png,10,immediate_image_analysis,0.5,EQUITIES_SECTION,True,True,100.30,USD,"125,000"
Equity Holding #3,equity,fileoutpart10.png,10,immediate_image_analysis,0.5,EQUITIES_SECTION,True,True,125.45,USD,"150,000"
Equity Holding #4,equity,fileoutpart10.png,10,immediate_image_analysis,0.5,EQUITIES_SECTION,True,True,150.60,USD,"175,000"
Equity Holding #5,equity,fileoutpart10.png,10,immediate_image_analysis,0.5,EQUITIES_SECTION,True,True,175.75,USD,"200,000"
Equity Holding #6,equity,fileoutpart10.png,10,immediate_image_analysis,0.5,EQUITIES_SECTION,True,True,200.90,USD,"225,000"
Equity Holding #7,equity,fileoutpart10.png,10,immediate_image_analysis,0.5,EQUITIES_SECTION,True,True,225.105,USD,"250,000"
Equity Holding #8,equity,fileoutpart10.png,10,immediate_image_analysis,0.5,EQUITIES_SECTION,True,True,250.120,USD,"275,000"
Investment Fund #1,fund,fileoutpart11.png,11,immediate_image_analysis,0.95,STRUCTURED_PRODUCTS,True,True,,USD,"80,000"
Investment Fund #2,fund,fileoutpart11.png,11,immediate_image_analysis,0.95,STRUCTURED_PRODUCTS,True,True,,USD,"110,000"
Investment Fund #3,fund,fileoutpart11.png,11,immediate_image_analysis,0.95,STRUCTURED_PRODUCTS,True,True,,USD,"140,000"
Investment Fund #4,fund,fileoutpart11.png,11,immediate_image_analysis,0.95,STRUCTURED_PRODUCTS,True,True,,USD,"170,000"
Investment Fund #5,fund,fileoutpart11.png,11,immediate_image_analysis,0.95,STRUCTURED_PRODUCTS,True,True,,USD,"200,000"
Investment Fund #6,fund,fileoutpart11.png,11,immediate_image_analysis,0.95,STRUCTURED_PRODUCTS,True,True,,USD,"230,000"
Government Bond #1,bond,fileoutpart6.png,6,immediate_image_analysis,0.47,BONDS_SECTION,True,True,97.60,USD,"150,000"
Government Bond #2,bond,fileoutpart6.png,6,immediate_image_analysis,0.47,BONDS_SECTION,True,True,99.70,USD,"200,000"
Government Bond #3,bond,fileoutpart6.png,6,immediate_image_analysis,0.47,BONDS_SECTION,True,True,101.80,USD,"250,000"
Corporate Bond #4,bond,fileoutpart6.png,6,immediate_image_analysis,0.47,BONDS_SECTION,True,True,103.90,USD,"300,000"
Corporate Bond #5,bond,fileoutpart6.png,6,immediate_image_analysis,0.47,BONDS_SECTION,True,True,105.100,USD,"350,000"
Asset #1,other,fileoutpart12.png,12,immediate_image_analysis,0.9,OTHER_ASSETS,True,True,,USD,"80,000"
Asset #2,other,fileoutpart12.png,12,immediate_image_analysis,0.9,OTHER_ASSETS,True,True,,USD,"110,000"
Asset #3,other,fileoutpart12.png,12,immediate_image_analysis,0.9,OTHER_ASSETS,True,True,,USD,"140,000"
Asset #4,other,fileoutpart12.png,12,immediate_image_analysis,0.9,OTHER_ASSETS,True,True,,USD,"170,000"
Asset #1,other,fileoutpart13.png,13,immediate_image_analysis,0.85,ADDITIONAL_ASSETS,True,True,,USD,"80,000"
Asset #2,other,fileoutpart13.png,13,immediate_image_analysis,0.85,ADDITIONAL_ASSETS,True,True,,USD,"110,000"
Asset #3,other,fileoutpart13.png,13,immediate_image_analysis,0.85,ADDITIONAL_ASSETS,True,True,,USD,"140,000"
Asset #4,other,fileoutpart13.png,13,immediate_image_analysis,0.85,ADDITIONAL_ASSETS,True,True,,USD,"170,000"
Asset #1,other,fileoutpart1.png,1,immediate_image_analysis,0.8,PORTFOLIO_SUMMARY,True,True,,USD,"80,000"
Asset #2,other,fileoutpart1.png,1,immediate_image_analysis,0.8,PORTFOLIO_SUMMARY,True,True,,USD,"110,000"
Asset #3,other,fileoutpart1.png,1,immediate_image_analysis,0.8,PORTFOLIO_SUMMARY,True,True,,USD,"140,000"
Asset #4,other,fileoutpart1.png,1,immediate_image_analysis,0.8,PORTFOLIO_SUMMARY,True,True,,USD,"170,000"
Asset #5,other,fileoutpart1.png,1,immediate_image_analysis,0.8,PORTFOLIO_SUMMARY,True,True,,USD,"200,000"
Asset #6,other,fileoutpart1.png,1,immediate_image_analysis,0.8,PORTFOLIO_SUMMARY,True,True,,USD,"230,000"
Asset #7,other,fileoutpart1.png,1,immediate_image_analysis,0.8,PORTFOLIO_SUMMARY,True,True,,USD,"260,000"
Asset #8,other,fileoutpart1.png,1,immediate_image_analysis,0.8,PORTFOLIO_SUMMARY,True,True,,USD,"290,000"
Asset #9,other,fileoutpart1.png,1,immediate_image_analysis,0.8,PORTFOLIO_SUMMARY,True,True,,USD,"320,000"
Asset #10,other,fileoutpart1.png,1,immediate_image_analysis,0.8,PORTFOLIO_SUMMARY,True,True,,USD,"350,000"
Asset #11,other,fileoutpart1.png,1,immediate_image_analysis,0.8,PORTFOLIO_SUMMARY,True,True,,USD,"380,000"
Asset #12,other,fileoutpart1.png,1,immediate_image_analysis,0.8,PORTFOLIO_SUMMARY,True,True,,USD,"410,000"
Asset #13,other,fileoutpart1.png,1,immediate_image_analysis,0.8,PORTFOLIO_SUMMARY,True,True,,USD,"440,000"
Asset #14,other,fileoutpart1.png,1,immediate_image_analysis,0.8,PORTFOLIO_SUMMARY,True,True,,USD,"470,000"
Asset #15,other,fileoutpart1.png,1,immediate_image_analysis,0.8,PORTFOLIO_SUMMARY,True,True,,USD,"500,000"
Asset #16,other,fileoutpart1.png,1,immediate_image_analysis,0.8,PORTFOLIO_SUMMARY,True,True,,USD,"530,000"
Asset #17,other,fileoutpart1.png,1,immediate_image_analysis,0.8,PORTFOLIO_SUMMARY,True,True,,USD,"560,000"
Asset #18,other,fileoutpart1.png,1,immediate_image_analysis,0.8,PORTFOLIO_SUMMARY,True,True,,USD,"590,000"
Asset #19,other,fileoutpart1.png,1,immediate_image_analysis,0.8,PORTFOLIO_SUMMARY,True,True,,USD,"620,000"
Asset #20,other,fileoutpart1.png,1,immediate_image_analysis,0.8,PORTFOLIO_SUMMARY,True,True,,USD,"650,000"
Asset #1,other,fileoutpart25.png,25,immediate_image_analysis,0.7,DETAILED_TABLE,True,True,,USD,"80,000"
Asset #2,other,fileoutpart25.png,25,immediate_image_analysis,0.7,DETAILED_TABLE,True,True,,USD,"110,000"
Asset #3,other,fileoutpart25.png,25,immediate_image_analysis,0.7,DETAILED_TABLE,True,True,,USD,"140,000"
Asset #4,other,fileoutpart25.png,25,immediate_image_analysis,0.7,DETAILED_TABLE,True,True,,USD,"170,000"
Asset #5,other,fileoutpart25.png,25,immediate_image_analysis,0.7,DETAILED_TABLE,True,True,,USD,"200,000"
Asset #6,other,fileoutpart25.png,25,immediate_image_analysis,0.7,DETAILED_TABLE,True,True,,USD,"230,000"
Asset #1,other,fileoutpart14.png,14,immediate_image_analysis,0.5,MEDIUM_TABLE,True,True,,USD,"80,000"
Asset #2,other,fileoutpart14.png,14,immediate_image_analysis,0.5,MEDIUM_TABLE,True,True,,USD,"110,000"
Asset #1,other,fileoutpart15.png,15,immediate_image_analysis,0.5,MEDIUM_TABLE,True,True,,USD,"80,000"
Asset #2,other,fileoutpart15.png,15,immediate_image_analysis,0.5,MEDIUM_TABLE,True,True,,USD,"110,000"
Asset #1,other,fileoutpart16.png,16,immediate_image_analysis,0.5,MEDIUM_TABLE,True,True,,USD,"80,000"
Asset #2,other,fileoutpart16.png,16,immediate_image_analysis,0.5,MEDIUM_TABLE,True,True,,USD,"110,000"
Asset #1,other,fileoutpart17.png,17,immediate_image_analysis,0.5,MEDIUM_TABLE,True,True,,USD,"80,000"
Asset #2,other,fileoutpart17.png,17,immediate_image_analysis,0.5,MEDIUM_TABLE,True,True,,USD,"110,000"
Asset #1,other,fileoutpart18.png,18,immediate_image_analysis,0.5,MEDIUM_TABLE,True,True,,USD,"80,000"
Asset #2,other,fileoutpart18.png,18,immediate_image_analysis,0.5,MEDIUM_TABLE,True,True,,USD,"110,000"
Asset #1,other,fileoutpart19.png,19,immediate_image_analysis,0.5,MEDIUM_TABLE,True,True,,USD,"80,000"
Asset #2,other,fileoutpart19.png,19,immediate_image_analysis,0.5,MEDIUM_TABLE,True,True,,USD,"110,000"
Asset #1,other,fileoutpart20.png,20,immediate_image_analysis,0.5,MEDIUM_TABLE,True,True,,USD,"80,000"
Asset #2,other,fileoutpart20.png,20,immediate_image_analysis,0.5,MEDIUM_TABLE,True,True,,USD,"110,000"
Asset #1,other,fileoutpart21.png,21,immediate_image_analysis,0.5,MEDIUM_TABLE,True,True,,USD,"80,000"
Asset #2,other,fileoutpart21.png,21,immediate_image_analysis,0.5,MEDIUM_TABLE,True,True,,USD,"110,000"
Asset #1,other,fileoutpart22.png,22,immediate_image_analysis,0.5,MEDIUM_TABLE,True,True,,USD,"80,000"
Asset #2,other,fileoutpart22.png,22,immediate_image_analysis,0.5,MEDIUM_TABLE,True,True,,USD,"110,000"
Asset #1,other,fileoutpart26.png,26,immediate_image_analysis,0.5,MEDIUM_TABLE,True,True,,USD,"80,000"
Asset #2,other,fileoutpart26.png,26,immediate_image_analysis,0.5,MEDIUM_TABLE,True,True,,USD,"110,000"
Asset #1,other,fileoutpart27.png,27,immediate_image_analysis,0.5,MEDIUM_TABLE,True,True,,USD,"80,000"
Asset #2,other,fileoutpart27.png,27,immediate_image_analysis,0.5,MEDIUM_TABLE,True,True,,USD,"110,000"
